bike_name,brand,city,kms_driven,owner,age,power (bhp),engine (cc),price (INR)
Yamaha RD500LC,Yamaha,Mumbai,22000,First,35,88,499,325000
Yamaha FZR600 Genesis,Yamaha,Delhi,32000,Second,33,85,599,180000
Yamaha R6 (2006),Yamaha,Pune,15000,First,19,122,599,520000
Yamaha R1 (2009),Yamaha,Bangalore,14000,First,15,180,998,750000
Yamaha MT-10 (2021),Yamaha,Chennai,7000,First,3,165,998,1150000
Honda CB750 Four (1975),Honda,Delhi,48000,Second,49,67,736,165000
Honda CBX1000 (1980),Honda,Mumbai,38000,First,44,105,1047,240000
Honda CBR600F (1995),Honda,Pune,30000,Second,29,100,598,180000
Honda CBR900RR (1998),Honda,Bangalore,25000,First,26,128,919,270000
Honda VFR800 (2002),Honda,Hyderabad,28000,Second,22,110,782,320000
Honda CBR1000RR (2008),Honda,Chennai,19000,First,16,175,999,570000
Honda CBR650R (2020),Honda,Jaipur,12000,First,4,95,648,720000
Honda CBR1000RR-R SP (2023),Honda,Kochi,4000,First,1,215,999,2100000
Suzuki GS750 (1977),Suzuki,Mumbai,55000,Second,47,63,748,150000
Suzuki GSX1100E (1981),Suzuki,Delhi,42000,First,43,100,1075,195000
Suzuki GSX-R750 (1985),Suzuki,Pune,36000,Third,39,106,749,165000
Suzuki RF900R (1995),Suzuki,Bangalore,31000,Second,29,135,937,230000
Suzuki TL1000R (2000),Suzuki,Chennai,27000,Second,24,135,996,285000
Suzuki GSX-R1000 K5 (2005),Suzuki,Hyderabad,21000,First,19,178,999,420000
Suzuki Hayabusa (2008),Suzuki,Jaipur,17000,First,16,194,1340,620000
Suzuki GSX-S750 (2021),Suzuki,Kochi,8000,First,3,114,749,760000
Suzuki GSX-R1000R (2022),Suzuki,Surat,5000,First,2,202,999,1800000
Kawasaki Z1 900 (1972),Kawasaki,Pune,52000,Third,52,82,903,180000
Kawasaki GPz900R (1984),Kawasaki,Delhi,43000,Second,40,115,908,210000
Kawasaki ZZR1100 (1990),Kawasaki,Mumbai,39000,Second,34,147,1052,245000
Kawasaki ZX-12R (2000),Kawasaki,Bengaluru,28000,First,24,178,1199,360000
Kawasaki Ninja ZX-6R (2005),Kawasaki,Chandigarh,23000,Second,19,112,636,380000
Kawasaki Z1000 (2010),Kawasaki,Ahmedabad,19000,First,14,138,1043,520000
Kawasaki Ninja 1000 (2015),Kawasaki,Chennai,14000,First,9,140,1043,760000
Kawasaki Ninja H2 (2017),Kawasaki,Hyderabad,8000,First,7,200+,998,2200000
Kawasaki Ninja ZX-10R (2021),Kawasaki,Jaipur,6000,First,3,203,998,1650000
Kawasaki Versys 1000 (2023),Kawasaki,Kochi,2500,First,1,120,1043,1340000
Yamaha XS1100 (1978),Yamaha,Kolkata,60000,Third,46,95,1101,150000
Yamaha FJ1100 (1984),Yamaha,Mumbai,44000,Second,40,125,1097,200000
Yamaha FZR1000 (1987),Yamaha,Delhi,42000,Second,37,135,989,225000
Yamaha YZF1000R Thunderace (1996),Yamaha,Bengaluru,36000,Second,28,145,1002,280000
Yamaha R1 (1998),Yamaha,Chennai,32000,Second,26,150,998,330000
Yamaha R6 (2005),Yamaha,Pune,27000,First,19,122,599,380000
Yamaha MT-01 (2007),Yamaha,Ahmedabad,22000,First,17,90,1670,450000
Yamaha R1 (2015),Yamaha,Hyderabad,14000,First,9,200,998,1200000
Yamaha MT-10 (2020),Yamaha,Kochi,7000,First,4,160,998,1350000
Yamaha R1M (2023),Yamaha,Jaipur,3000,First,1,200+,998,3000000
Ducati 900SS (1976),Ducati,Mumbai,58000,Third,48,80,864,160000
Ducati 851 SP3 (1991),Ducati,Delhi,39000,Second,33,111,888,210000
Ducati 916 SPS (1995),Ducati,Bangalore,34000,Second,29,123,916,280000
Ducati 996 (2001),Ducati,Pune,26000,First,23,112,996,390000
Ducati 999R (2005),Ducati,Hyderabad,22000,First,19,150,999,480000
Ducati 1098 (2007),Ducati,Kolkata,20000,First,17,160,1099,620000
Ducati 1199 Panigale (2012),Ducati,Chennai,15000,First,12,195,1198,900000
Ducati 1299 Panigale S (2016),Ducati,Jaipur,8000,First,8,205,1285,1350000
